number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid
867,3243b101-00dc-4267-9463-fe3476fd842f,community_02,Deborah,James,female,1994-02-21,47294936770.0,08045393107,https://www.commcarehq.org/photos/farmer_867.jpg,1,crop_farming,9,owned,6,rain-fed,---,maize rice,---,4.8,1.3,goats rabbits,9,32,10.4834673 7.3473218 0.0 20.0,yes,d8ead40b-1877-4206-8db4-8b4ba423e8b3,2026-04-30 00:07:00,2026-04-30,tester,2026-04-30 00:07:06,https://www.commcarehq.org/form/3243b101-00dc-4267-9463-fe3476fd842f,tester,True
868,17b4331f-cc0b-4595-b680-db7b0f6db4ff,community_01,Joy,Sani,female,2004-03-09,16223292994.0,08061709208,https://www.commcarehq.org/photos/farmer_868.jpg,5,crop_farming,2,leased,3,borehole,---,maize,---,4.4,---,---,---,---,10.4116744 7.3816053 0.0 20.0,yes,0cd564d6-017a-42cf-96d1-300b8fb643a3,2026-04-06 00:02:00,2026-04-06,tester,2026-04-06 00:02:16,https://www.commcarehq.org/form/17b4331f-cc0b-4595-b680-db7b0f6db4ff,tester,True
869,6e7d13db-fc26-4b1b-bea5-7ffc4f979e91,community_04,Ruth,Balogun,male,1977-03-13,21602617532.0,08096785765,https://www.commcarehq.org/photos/farmer_869.jpg,10,livestock_farming,13,owned,6,borehole,---,rice maize,---,0.8,1.7,---,---,---,10.5712306 7.5480454 0.0 20.0,yes,90855725-95a3-4ca0-a61d-3d14dd2ed53c,2026-03-27 00:06:00,2026-03-27,tester,2026-03-27 00:06:11,https://www.commcarehq.org/form/6e7d13db-fc26-4b1b-bea5-7ffc4f979e91,tester,True
870,b19f0ac6-7f79-4471-bcd8-65178832f1d3,community_07,Daniel,Ali,male,1980-01-06,62660421070.0,08010564674,https://www.commcarehq.org/photos/farmer_870.jpg,7,crop_farming,5,leased,3,borehole,---,groundnuts,1.9,---,---,---,---,---,10.4958015 7.2105558 0.0 20.0,yes,b0b987eb-dddb-4969-bfa9-54fdb4d059c4,2026-02-26 00:05:00,2026-02-26,tester,2026-02-26 00:05:05,https://www.commcarehq.org/form/b19f0ac6-7f79-4471-bcd8-65178832f1d3,tester,True
871,9aa60f5e-9c82-4061-91f3-9a858bcc2f75,community_04,Fatima,Okafor,male,1978-06-09,,08008944109,https://www.commcarehq.org/photos/farmer_871.jpg,8,crop_farming,16,leased,6,rain-fed,---,rice,---,---,1.8,goats rabbits,5,23,10.370721 7.4624152 0.0 20.0,yes,ead9ce3c-a975-40a7-9cb8-9b459114fc07,2026-04-13 00:04:00,2026-04-13,tester,2026-04-13 00:04:18,https://www.commcarehq.org/form/9aa60f5e-9c82-4061-91f3-9a858bcc2f75,tester,True
872,9aa9d68e-2ebc-47ed-9da4-e23ebbf79143,community_01,Ruth,Ali,male,1987-01-07,90737469108.0,08069813889,https://www.commcarehq.org/photos/farmer_872.jpg,5,mixed_farming,19,leased,3,rain-fed,---,rice groundnuts maize,0.6,3.5,0.9,---,---,---,10.5241894 7.4099765 0.0 20.0,yes,7641a9a7-ccf9-4a5f-bc2a-131a9435b42c,2026-02-18 00:04:00,2026-02-18,tester,2026-02-18 00:04:08,https://www.commcarehq.org/form/9aa9d68e-2ebc-47ed-9da4-e23ebbf79143,tester,True
873,332871a7-276e-45dd-afe9-e36a9f7d2ce7,community_04,Suleiman,James,male,1977-11-25,,08024286663,https://www.commcarehq.org/photos/farmer_873.jpg,7,crop_farming,20,owned,2,rain-fed,---,groundnuts,2.6,---,---,rabbits,---,26,10.5568235 7.3703143 0.0 20.0,yes,c3032c7f-3555-4f2c-b1a3-8d2046420161,2026-02-08 00:05:00,2026-02-08,tester,2026-02-08 00:05:20,https://www.commcarehq.org/form/332871a7-276e-45dd-afe9-e36a9f7d2ce7,tester,True
874,07744e14-4521-4dcd-8e65-554b1978be34,community_01,Fatima,Okafor,male,1983-03-27,17208002343.0,08020742331,https://www.commcarehq.org/photos/farmer_874.jpg,8,crop_farming,11,family_land,1,rain-fed,---,rice,---,---,2.9,---,---,---,10.3014324 7.4016723 0.0 20.0,yes,18ba6a4b-c6c7-407e-aa28-1c69851b85a7,2026-05-23 00:03:00,2026-05-23,tester,2026-05-23 00:03:17,https://www.commcarehq.org/form/07744e14-4521-4dcd-8e65-554b1978be34,tester,True
875,f21bf367-9b5b-493b-a872-d13a3103d052,community_04,Ahmed,Okafor,male,1974-11-25,35656221222.0,08081244490,https://www.commcarehq.org/photos/farmer_875.jpg,4,mixed_farming,29,owned,3,rain-fed,---,rice maize,---,4.8,3.2,---,---,---,10.281536 7.5658513 0.0 20.0,yes,03fd962e-0ac4-4535-8b67-b89117592720,2026-02-24 00:04:00,2026-02-24,tester,2026-02-24 00:04:15,https://www.commcarehq.org/form/f21bf367-9b5b-493b-a872-d13a3103d052,tester,True
876,b385786b-04ae-43fc-8ca1-82f7baa0c4ee,community_02,Peter,Yakubu,female,1997-01-20,29703637046.0,08084020737,https://www.commcarehq.org/photos/farmer_876.jpg,5,crop_farming,10,owned,1,rain-fed,---,maize groundnuts,2.5,3.7,---,goats,14,---,10.3089104 7.5096043 0.0 20.0,yes,0797329d-fa8e-4f43-8338-3867aedf5e9b,2026-03-11 00:04:00,2026-03-11,tester,2026-03-11 00:04:08,https://www.commcarehq.org/form/b385786b-04ae-43fc-8ca1-82f7baa0c4ee,tester,True
877,8e4f4a9a-8724-4871-a6ae-b915b79123ef,community_01,Yusuf,Bello,male,2000-09-07,38442277548.0,08038190875,https://www.commcarehq.org/photos/farmer_877.jpg,8,livestock_farming,2,owned,1,river_stream,---,groundnuts maize rice,2.9,2.4,2.4,---,---,---,10.2310256 7.235661 0.0 20.0,yes,9d412939-ef29-4dfb-9718-37655b1e6ccd,2026-01-10 00:08:00,2026-01-10,tester,2026-01-10 00:08:11,https://www.commcarehq.org/form/8e4f4a9a-8724-4871-a6ae-b915b79123ef,tester,True
878,758a05c6-36f8-4f8b-a840-2f36766dfeaf,community_02,Daniel,David,male,2002-02-11,,08081183341,https://www.commcarehq.org/photos/farmer_878.jpg,4,crop_farming,3,family_land,3,rain-fed,---,groundnuts maize rice,1.7,5.7,3.1,goats,11,---,10.3539685 7.5652279 0.0 20.0,yes,20576272-96e9-478b-b8c8-cd9517261b68,2026-06-09 00:04:00,2026-06-09,tester,2026-06-09 00:04:13,https://www.commcarehq.org/form/758a05c6-36f8-4f8b-a840-2f36766dfeaf,tester,True
879,bec6b784-e35c-45e0-bee1-547feaede71b,community_03,Grace,Balogun,female,1992-09-20,22821690891.0,08005711127,https://www.commcarehq.org/photos/farmer_879.jpg,10,crop_farming,4,owned,6,rain-fed,---,maize rice groundnuts,2.2,1.0,3.1,---,---,---,10.276698 7.4696446 0.0 20.0,yes,b1ec2133-bf16-419d-af13-25dbcae81b58,2026-04-03 00:07:00,2026-04-03,tester,2026-04-03 00:07:05,https://www.commcarehq.org/form/bec6b784-e35c-45e0-bee1-547feaede71b,tester,True
880,efa46d49-f6dd-42c4-8bbc-dfc3af7dcefd,community_01,Ibrahim,Eze,female,2001-07-16,,08031603410,https://www.commcarehq.org/photos/farmer_880.jpg,5,mixed_farming,2,owned,3,rain-fed,---,rice,---,---,1.5,---,---,---,10.3081339 7.2451612 0.0 20.0,yes,1971b6ef-364e-4108-9a41-296376ea5235,2026-01-02 00:08:00,2026-01-02,tester,2026-01-02 00:08:07,https://www.commcarehq.org/form/efa46d49-f6dd-42c4-8bbc-dfc3af7dcefd,tester,True
881,acf7d8bd-baab-4222-a4aa-a99e292783f6,community_02,Esther,Samuel,female,1986-09-17,49174384344.0,08084198804,https://www.commcarehq.org/photos/farmer_881.jpg,3,mixed_farming,10,family_land,2,rain-fed,---,maize rice groundnuts,2.1,3.8,2.9,goats,7,---,10.4399432 7.2989172 0.0 20.0,yes,3d595c66-2b9e-4f1d-8b1a-07eac6714fa2,2026-06-21 00:04:00,2026-06-21,tester,2026-06-21 00:04:08,https://www.commcarehq.org/form/acf7d8bd-baab-4222-a4aa-a99e292783f6,tester,True
882,6b6d274f-2d6d-4a3f-be91-7697fe06fd1b,community_07,Musa,Mohammed,female,1981-04-06,,08075001582,https://www.commcarehq.org/photos/farmer_882.jpg,5,mixed_farming,8,owned,3,borehole,---,rice,---,---,0.9,---,---,---,10.5684543 7.3578144 0.0 20.0,yes,575e891a-c817-460e-a8d2-543ef46eae2f,2026-05-03 00:08:00,2026-05-03,tester,2026-05-03 00:08:07,https://www.commcarehq.org/form/6b6d274f-2d6d-4a3f-be91-7697fe06fd1b,tester,True
883,ea34fc59-88f5-45b6-bd4a-07d70a69ef66,community_05,Emmanuel,Isa,male,2005-02-27,68140527073.0,08040433191,https://www.commcarehq.org/photos/farmer_883.jpg,8,mixed_farming,2,family_land,2,irrigation_scheme,---,groundnuts maize,1.7,1.3,---,goats,22,---,10.5173967 7.5371351 0.0 20.0,yes,19028ad1-69a8-4591-a8d3-4a3d77dae6f1,2026-03-03 00:08:00,2026-03-03,tester,2026-03-03 00:08:11,https://www.commcarehq.org/form/ea34fc59-88f5-45b6-bd4a-07d70a69ef66,tester,True
884,1356b4c3-7f7d-4495-b315-1c62442a4a41,community_05,Naomi,Abdullahi,male,1996-07-29,,08077492493,https://www.commcarehq.org/photos/farmer_884.jpg,4,crop_farming,12,family_land,3,rain-fed,---,maize,---,6.5,---,goats,25,---,10.483831 7.2935734 0.0 20.0,yes,b6c34011-5aaa-46b7-80fb-51a9bfb332ab,2026-06-29 00:03:00,2026-06-29,tester,2026-06-29 00:03:12,https://www.commcarehq.org/form/1356b4c3-7f7d-4495-b315-1c62442a4a41,tester,True
885,1f92cf9c-14a6-4fed-a5e9-38f9cb25aa27,community_04,Mary,Abdullahi,male,1967-09-24,97537131999.0,08016185408,https://www.commcarehq.org/photos/farmer_885.jpg,8,mixed_farming,15,owned,2,rain-fed,---,rice maize groundnuts,0.7,1.0,2.0,rabbits,---,7,10.4603203 7.3274994 0.0 20.0,yes,7c131118-db04-4eb5-bf26-e5dcee49512d,2026-04-30 00:07:00,2026-04-30,tester,2026-04-30 00:07:06,https://www.commcarehq.org/form/1f92cf9c-14a6-4fed-a5e9-38f9cb25aa27,tester,True
886,0cd033ec-6903-40bd-914b-54df219bc8f1,community_03,Joy,Ibrahim,female,1965-11-05,85413569007.0,08099566737,https://www.commcarehq.org/photos/farmer_886.jpg,6,livestock_farming,9,family_land,1,rain-fed,---,rice maize,---,0.9,3.2,goats,10,---,10.3111616 7.268526 0.0 20.0,yes,93e00c7b-6a47-4cc2-9acc-c97022118753,2026-05-30 00:04:00,2026-05-30,tester,2026-05-30 00:04:15,https://www.commcarehq.org/form/0cd033ec-6903-40bd-914b-54df219bc8f1,tester,True
887,84082fc8-ddf0-4cd0-a600-eed9991b68d6,community_01,Joy,Tanko,female,1980-09-02,24148246205.0,08052617905,https://www.commcarehq.org/photos/farmer_887.jpg,6,crop_farming,28,family_land,2,borehole,---,rice groundnuts maize,2.3,2.0,2.2,---,---,---,10.256945 7.2949032 0.0 20.0,yes,49b8f152-37b1-425a-aa9b-64e602740d44,2026-06-29 00:05:00,2026-06-29,tester,2026-06-29 00:05:19,https://www.commcarehq.org/form/84082fc8-ddf0-4cd0-a600-eed9991b68d6,tester,True
888,0025d932-2864-4a6f-8725-91495ceffc44,community_06,Grace,Ogunleye,male,1961-03-29,25225626984.0,08010075677,https://www.commcarehq.org/photos/farmer_888.jpg,5,crop_farming,44,leased,2,dam_reservoir,---,groundnuts,2.8,---,---,goats,12,---,10.3692446 7.502968 0.0 20.0,yes,a7ccf9c4-da50-488c-9c79-c6100d3d7d95,2026-02-25 00:02:00,2026-02-25,tester,2026-02-25 00:02:07,https://www.commcarehq.org/form/0025d932-2864-4a6f-8725-91495ceffc44,tester,True
889,0205287e-faef-4f19-bfef-65db00b7bc4f,community_02,Joy,Daniel,male,1965-10-16,15328928341.0,08087398602,https://www.commcarehq.org/photos/farmer_889.jpg,1,crop_farming,36,leased,4,irrigation_scheme,---,groundnuts,1.8,---,---,goats,24,---,10.4175893 7.3790957 0.0 20.0,yes,b79ed81d-23c9-47d4-b496-321eb05e79ad,2026-03-09 00:05:00,2026-03-09,tester,2026-03-09 00:05:07,https://www.commcarehq.org/form/0205287e-faef-4f19-bfef-65db00b7bc4f,tester,True
890,e1dbb3c3-71b6-4ea0-adab-dad4191679d3,community_03,Mercy,Ibrahim,male,1983-04-09,,08026490692,https://www.commcarehq.org/photos/farmer_890.jpg,8,crop_farming,7,owned,5,rain-fed,---,groundnuts,1.2,---,---,goats rabbits,4,20,10.24421 7.2487835 0.0 20.0,yes,17805644-fe86-4d3f-b15c-dabf3d1d6eb7,2026-03-27 00:07:00,2026-03-27,tester,2026-03-27 00:07:19,https://www.commcarehq.org/form/e1dbb3c3-71b6-4ea0-adab-dad4191679d3,tester,True
891,831191a5-c81c-462c-bd1b-0cf94e3d6aed,community_04,Sarah,Musa,female,1973-07-29,,08065379464,https://www.commcarehq.org/photos/farmer_891.jpg,3,mixed_farming,32,family_land,2,rain-fed,---,maize groundnuts,1.0,3.4,---,rabbits,---,15,10.4425886 7.2336098 0.0 20.0,yes,9c8d49e6-3be2-4329-a2e3-85a734a08937,2026-02-27 00:06:00,2026-02-27,tester,2026-02-27 00:06:19,https://www.commcarehq.org/form/831191a5-c81c-462c-bd1b-0cf94e3d6aed,tester,True
892,e051e6dc-3ef1-48d5-8a79-e4ede30b0312,community_05,Paul,Isa,male,1983-06-23,87811532027.0,08023598074,https://www.commcarehq.org/photos/farmer_892.jpg,8,mixed_farming,22,owned,3,borehole,---,rice groundnuts maize,2.1,5.3,1.7,---,---,---,10.3325806 7.2770823 0.0 20.0,yes,06ee1ba1-b92b-4da6-9aef-2bff7d973741,2026-05-19 00:07:00,2026-05-19,tester,2026-05-19 00:07:15,https://www.commcarehq.org/form/e051e6dc-3ef1-48d5-8a79-e4ede30b0312,tester,True
893,41330840-f481-4923-b9b4-56b8ff55fd44,community_02,Joseph,Balogun,male,1992-02-04,43359901663.0,08054630458,https://www.commcarehq.org/photos/farmer_893.jpg,1,livestock_farming,3,family_land,1,borehole,---,groundnuts,2.2,---,---,goats,23,---,10.4875954 7.5023047 0.0 20.0,yes,77a91f8a-00f9-4533-b8fd-a1e6d53cb548,2026-03-10 00:04:00,2026-03-10,tester,2026-03-10 00:04:06,https://www.commcarehq.org/form/41330840-f481-4923-b9b4-56b8ff55fd44,tester,True
894,b845a232-a612-4ac5-81e9-b4a8ef254297,community_03,Elizabeth,Yakubu,female,1978-11-16,,08055958681,https://www.commcarehq.org/photos/farmer_894.jpg,9,crop_farming,5,family_land,1,rain-fed,---,maize rice groundnuts,3.0,5.2,1.5,goats,16,---,10.3967125 7.4771402 0.0 20.0,yes,585f9181-d435-4a1e-97a4-645f960660a2,2026-03-13 00:02:00,2026-03-13,tester,2026-03-13 00:02:05,https://www.commcarehq.org/form/b845a232-a612-4ac5-81e9-b4a8ef254297,tester,True
895,5fcab37f-8a86-4bfa-aed5-139d692b8bc7,community_07,Musa,Sani,male,1977-12-11,28354205229.0,08091289025,https://www.commcarehq.org/photos/farmer_895.jpg,1,mixed_farming,15,family_land,1,rain-fed,---,rice,---,---,1.5,goats,2,---,10.2538415 7.536043 0.0 20.0,yes,7da2a3ec-8e5b-465f-83ad-825cdd0ab798,2026-05-16 00:06:00,2026-05-16,tester,2026-05-16 00:06:20,https://www.commcarehq.org/form/5fcab37f-8a86-4bfa-aed5-139d692b8bc7,tester,True
896,3a9872a7-84ce-464b-bd1d-3928b5a3262e,community_05,James,Eze,female,1982-08-19,,08029514685,https://www.commcarehq.org/photos/farmer_896.jpg,7,mixed_farming,6,owned,1,rain-fed,---,rice,---,---,1.2,goats,15,---,10.3153649 7.2543598 0.0 20.0,yes,843b0c18-bc37-48c5-bc62-42cc7f256190,2026-03-09 00:04:00,2026-03-09,tester,2026-03-09 00:04:17,https://www.commcarehq.org/form/3a9872a7-84ce-464b-bd1d-3928b5a3262e,tester,True
897,9c087cb3-5ee3-4201-b932-45e5becd6a5e,community_06,Mary,Yakubu,female,2002-09-06,77932980514.0,08002272718,https://www.commcarehq.org/photos/farmer_897.jpg,11,crop_farming,2,owned,3,rain-fed,---,maize,---,2.0,---,rabbits,---,3,10.4560311 7.2111072 0.0 20.0,no,df273518-afa3-40fd-b847-f1db33179d07,2026-01-27 00:03:00,2026-01-27,tester,2026-01-27 00:03:17,https://www.commcarehq.org/form/9c087cb3-5ee3-4201-b932-45e5becd6a5e,tester,True
898,21abad5e-2204-4f64-a3bf-2cc8ca3b9ecd,community_05,John,Musa,female,1994-04-10,51553365394.0,08026496973,https://www.commcarehq.org/photos/farmer_898.jpg,4,crop_farming,7,owned,6,rain-fed,---,rice maize groundnuts,2.3,3.0,3.0,---,---,---,10.3317802 7.2838617 0.0 20.0,yes,4b3fe735-9eb7-472a-987f-82ac341c9c0a,2026-03-23 00:06:00,2026-03-23,tester,2026-03-23 00:06:09,https://www.commcarehq.org/form/21abad5e-2204-4f64-a3bf-2cc8ca3b9ecd,tester,True
899,5506f86a-f0a2-42d3-a74b-d3c27205673c,community_03,Sarah,Balogun,female,1988-05-17,89938106703.0,08086911155,https://www.commcarehq.org/photos/farmer_899.jpg,5,livestock_farming,11,leased,1,rain-fed,---,maize,---,2.4,---,---,---,---,10.4033921 7.4343637 0.0 20.0,yes,1803a6ea-5e15-422d-abe7-0762b91d4a5e,2026-06-11 00:08:00,2026-06-11,tester,2026-06-11 00:08:19,https://www.commcarehq.org/form/5506f86a-f0a2-42d3-a74b-d3c27205673c,tester,True
900,906ded56-29eb-41cc-b457-cf3dc1a24506,community_06,Daniel,Mohammed,female,1974-01-12,76457579618.0,08042723723,https://www.commcarehq.org/photos/farmer_900.jpg,9,crop_farming,33,leased,2,rain-fed,---,rice maize groundnuts,2.5,5.3,2.2,---,---,---,10.5262299 7.4249888 0.0 20.0,yes,1c26d66a-6689-49fb-be83-e305495c87e0,2026-03-16 00:07:00,2026-03-16,tester,2026-03-16 00:07:17,https://www.commcarehq.org/form/906ded56-29eb-41cc-b457-cf3dc1a24506,tester,True
901,94b60eb5-c61a-45bf-af16-410b6dcf2270,community_01,Mary,Peter,male,1972-07-02,60937058712.0,08029760708,https://www.commcarehq.org/photos/farmer_901.jpg,7,crop_farming,17,owned,2,rain-fed,---,maize,---,4.5,---,rabbits,---,32,10.3186595 7.2497501 0.0 20.0,yes,2526d60c-021f-42a1-9b9a-46f84049a34e,2026-01-15 00:03:00,2026-01-15,tester,2026-01-15 00:03:09,https://www.commcarehq.org/form/94b60eb5-c61a-45bf-af16-410b6dcf2270,tester,True
902,dbcedcae-b296-44a8-941b-f3ae643c7fc1,community_03,Binta,Haruna,male,1977-02-11,94330056854.0,08055994519,https://www.commcarehq.org/photos/farmer_902.jpg,2,crop_farming,14,family_land,2,rain-fed,---,rice maize groundnuts,2.6,4.9,3.6,goats rabbits,25,8,10.3972046 7.5496327 0.0 20.0,yes,387da461-fc9b-4230-8a96-22a1c5df2be7,2026-06-18 00:08:00,2026-06-18,tester,2026-06-18 00:08:09,https://www.commcarehq.org/form/dbcedcae-b296-44a8-941b-f3ae643c7fc1,tester,True
903,442a15d0-13bf-4999-bbae-bf865f7aaf32,community_03,Mary,Yakubu,male,1972-07-02,62435832159.0,08089414877,https://www.commcarehq.org/photos/farmer_903.jpg,5,livestock_farming,22,family_land,6,rain-fed,---,groundnuts rice maize,1.4,6.1,3.0,---,---,---,10.4412404 7.2151444 0.0 20.0,yes,7c0a6af0-37ef-480d-bd44-648b4b5340aa,2026-03-16 00:07:00,2026-03-16,tester,2026-03-16 00:07:15,https://www.commcarehq.org/form/442a15d0-13bf-4999-bbae-bf865f7aaf32,tester,True
904,acd2264b-4555-4b02-a762-9eb4076f4022,community_04,Rebecca,Abdullahi,female,1983-11-28,,08084716329,https://www.commcarehq.org/photos/farmer_904.jpg,4,crop_farming,24,family_land,3,dam_reservoir,---,maize groundnuts rice,2.6,2.6,0.6,goats,2,---,10.5026361 7.2270849 0.0 20.0,yes,239e620e-0250-4b2b-ad5e-5f1188f630a6,2026-06-10 00:07:00,2026-06-10,tester,2026-06-10 00:07:13,https://www.commcarehq.org/form/acd2264b-4555-4b02-a762-9eb4076f4022,tester,True
905,3aa1b466-b7ee-49fb-9532-7fb1063f9885,community_07,Yusuf,Yakubu,male,1970-01-21,20723323674.0,08033293051,https://www.commcarehq.org/photos/farmer_905.jpg,11,crop_farming,14,family_land,2,river_stream,---,groundnuts,3.0,---,---,---,---,---,10.5556353 7.3100628 0.0 20.0,yes,9112724d-969b-4d73-9119-d603cf9d3eef,2026-03-21 00:06:00,2026-03-21,tester,2026-03-21 00:06:15,https://www.commcarehq.org/form/3aa1b466-b7ee-49fb-9532-7fb1063f9885,tester,True
906,a2e42adf-fc98-47f5-9ab8-dcfedf322dd9,community_01,Emmanuel,Isa,female,1990-09-03,78834583387.0,08015064156,https://www.commcarehq.org/photos/farmer_906.jpg,3,crop_farming,9,owned,1,rain-fed,---,rice maize,---,5.1,1.0,goats,12,---,10.5627732 7.557468 0.0 20.0,yes,05bbe499-6c23-42c0-a95a-77a3fd085a04,2026-04-29 00:04:00,2026-04-29,tester,2026-04-29 00:04:08,https://www.commcarehq.org/form/a2e42adf-fc98-47f5-9ab8-dcfedf322dd9,tester,True
907,92383822-5e87-4cf4-9ab1-fc736964766a,community_03,Samuel,Abdullahi,female,1993-07-02,,08055788203,https://www.commcarehq.org/photos/farmer_907.jpg,4,crop_farming,4,leased,1,rain-fed,---,maize rice,---,3.6,3.2,goats,23,---,10.5797972 7.2019544 0.0 20.0,yes,e86b8531-9672-4fb2-8dff-f4b132d8409e,2026-01-25 00:04:00,2026-01-25,tester,2026-01-25 00:04:15,https://www.commcarehq.org/form/92383822-5e87-4cf4-9ab1-fc736964766a,tester,True
908,83b322a2-8f19-4320-ad44-1525b8046ece,community_01,Hauwa,Haruna,female,2004-12-18,28869277849.0,08045919260,https://www.commcarehq.org/photos/farmer_908.jpg,4,mixed_farming,1,family_land,3,rain-fed,---,maize,---,5.8,---,goats,8,---,10.4419097 7.280476 0.0 20.0,yes,11cd2a9a-db27-4287-adf3-2222d7742d86,2026-03-15 00:02:00,2026-03-15,tester,2026-03-15 00:02:18,https://www.commcarehq.org/form/83b322a2-8f19-4320-ad44-1525b8046ece,tester,True
909,4457341d-3d3d-419c-9160-c32c7056f349,community_06,Elizabeth,Ogunleye,female,1992-06-22,89111000658.0,08058989546,https://www.commcarehq.org/photos/farmer_909.jpg,2,crop_farming,14,owned,1,rain-fed,---,rice maize groundnuts,1.0,3.3,0.8,goats,20,---,10.5374041 7.372464 0.0 20.0,yes,af63618e-bd3f-4218-a3f4-4858a4c4487a,2026-06-23 00:07:00,2026-06-23,tester,2026-06-23 00:07:09,https://www.commcarehq.org/form/4457341d-3d3d-419c-9160-c32c7056f349,tester,True
910,03587bbf-8833-4b6b-9fb0-f0149a1f67d2,community_07,James,Garba,female,1996-02-21,15552213425.0,08045305435,https://www.commcarehq.org/photos/farmer_910.jpg,6,crop_farming,1,family_land,1,dam_reservoir,---,maize,---,6.2,---,---,---,---,10.2471239 7.3456823 0.0 20.0,yes,e5e73c29-15bb-43e1-9e6a-138556e1e4bb,2026-02-17 00:02:00,2026-02-17,tester,2026-02-17 00:02:09,https://www.commcarehq.org/form/03587bbf-8833-4b6b-9fb0-f0149a1f67d2,tester,True
911,94a70853-e750-42cc-ae62-872ced3f5389,community_06,Amina,Yusuf,male,1987-09-20,25405952283.0,08031333057,https://www.commcarehq.org/photos/farmer_911.jpg,3,crop_farming,18,owned,3,borehole,---,groundnuts,1.0,---,---,rabbits,---,17,10.5287257 7.3622649 0.0 20.0,yes,26b3feeb-097f-4744-be99-9f664dbd6ad0,2026-02-02 00:06:00,2026-02-02,tester,2026-02-02 00:06:15,https://www.commcarehq.org/form/94a70853-e750-42cc-ae62-872ced3f5389,tester,True
912,45b03f5b-6117-4a7f-8c1e-ef40cc05c0c7,community_03,Elizabeth,Sani,male,1951-12-07,,08004004902,https://www.commcarehq.org/photos/farmer_912.jpg,4,livestock_farming,51,owned,6,rain-fed,---,maize groundnuts,1.5,3.1,---,---,---,---,10.5390399 7.3526306 0.0 20.0,yes,f0dd8802-48f9-4cb0-abc8-5e3da437da82,2026-06-29 00:05:00,2026-06-29,tester,2026-06-29 00:05:18,https://www.commcarehq.org/form/45b03f5b-6117-4a7f-8c1e-ef40cc05c0c7,tester,True
913,24603c46-d7ae-4e79-9a0a-17dec547ece2,community_02,Fatima,Philip,male,1979-02-09,,08072354525,https://www.commcarehq.org/photos/farmer_913.jpg,6,crop_farming,12,leased,4,borehole,---,rice maize groundnuts,1.5,4.8,2.9,goats rabbits,22,15,10.4855028 7.4304967 0.0 20.0,yes,9a344c1f-7e56-4fa6-abdc-e53ab1a501e4,2026-05-15 00:08:00,2026-05-15,tester,2026-05-15 00:08:10,https://www.commcarehq.org/form/24603c46-d7ae-4e79-9a0a-17dec547ece2,tester,True
914,7c39eaae-4d31-43a9-a03f-09fdf1cac646,community_01,Blessing,Abdullahi,male,1985-03-25,,08016225934,https://www.commcarehq.org/photos/farmer_914.jpg,2,livestock_farming,21,family_land,5,rain-fed,---,groundnuts rice maize,1.5,5.4,1.6,goats,14,---,10.5147642 7.4669448 0.0 20.0,yes,c3ee8fc0-f2c3-40ba-9e76-41b8a1a74926,2026-04-13 00:04:00,2026-04-13,tester,2026-04-13 00:04:20,https://www.commcarehq.org/form/7c39eaae-4d31-43a9-a03f-09fdf1cac646,tester,True
915,071a659d-6b1a-455e-add5-ed6a7e351735,community_05,Joseph,David,female,1980-06-19,10539973046.0,08057365389,https://www.commcarehq.org/photos/farmer_915.jpg,12,mixed_farming,19,owned,2,rain-fed,---,rice maize,---,1.4,0.5,goats,24,---,10.4769367 7.3656616 0.0 20.0,yes,3540f052-1b35-4860-a52b-887094b5f353,2026-06-02 00:08:00,2026-06-02,tester,2026-06-02 00:08:19,https://www.commcarehq.org/form/071a659d-6b1a-455e-add5-ed6a7e351735,tester,True
916,dec246c7-1119-4216-8355-228be40d56c6,community_06,Peter,Ojo,male,1972-06-27,77862228544.0,08014920182,https://www.commcarehq.org/photos/farmer_916.jpg,3,crop_farming,16,owned,1,rain-fed,---,rice,---,---,1.4,goats,13,---,10.4127108 7.3372553 0.0 20.0,yes,5a3882b6-d228-41a3-9e82-9264adf3ead0,2026-04-06 00:03:00,2026-04-06,tester,2026-04-06 00:03:14,https://www.commcarehq.org/form/dec246c7-1119-4216-8355-228be40d56c6,tester,True
